Number,Title,AcceptanceRate,Difficulty,Frequency
1,Two Sum,48.7%,Easy,0.9713827852157103
2,Add Two Numbers,38.8%,Medium,0.6681904485860778
3,Longest Substring Without Repeating Characters,33.1%,Medium,0.4080863415880386
4,Median of Two Sorted Arrays,34.3%,Hard,0.8363498816455164
5,Longest Palindromic Substring,31.8%,Medium,0.2225980188220145
7,Reverse Integer,26.8%,Medium,0.08264897660150597
8,String to Integer (atoi),16.5%,Medium,0.06872933215218067
9,Palindrome Number,52.5%,Easy,0.027440746154953576
11,Container With Most Water,54.0%,Medium,0.1306201824170642
12,Integer to Roman,59.7%,Medium,0.10318423623523076
13,Roman to Integer,57.9%,Easy,0.5204904528478598
14,Longest Common Prefix,39.6%,Easy,0.6577899622317086
15,3Sum,31.3%,Medium,0.44747269380744903
17,Letter Combinations of a Phone Number,54.4%,Medium,0.5017743255082224
18,4Sum,37.4%,Medium,0.38776553100876343
19,Remove Nth Node From End of List,38.5%,Medium,0.016201245415424264
20,Valid Parentheses,40.9%,Easy,0.059655089648252974
21,Merge Two Sorted Lists,60.6%,Easy,0.011692620790284927
22,Generate Parentheses,70.4%,Medium,0.6571777048195748
23,Merge k Sorted Lists,47.3%,Hard,0.3559766198880075
24,Swap Nodes in Pairs,59.0%,Medium,0.03626870773745257
26,Remove Duplicates from Sorted Array,49.2%,Easy,0.05886215301212945
27,Remove Element,51.4%,Easy,0.08373089291046797
28,Implement strStr(),36.2%,Easy,0.05358424613410637
30,Substring with Concatenation of All Words,28.3%,Hard,0.15123096972392353
31,Next Permutation,36.5%,Medium,0.23843368813228313
32,Longest Valid Parentheses,32.3%,Hard,0.0749414212921187
33,Search in Rotated Sorted Array,37.9%,Medium,0.22940913531082485
34,Find First and Last Position of Element in Sorted Array,40.2%,Medium,0.1850469943157836
35,Search Insert Position,42.3%,Easy,0.19848524345274848
36,Valid Sudoku,55.4%,Medium,0.27827971977339055
37,Sudoku Solver,54.5%,Hard,0.3989077075620053
38,Count and Say,48.9%,Medium,0.08552217343816201
39,Combination Sum,65.9%,Medium,0.026955809988528263
42,Trapping Rain Water,56.8%,Hard,0.34773320110574063
45,Jump Game II,37.4%,Medium,0.15580518874043917
46,Permutations,72.7%,Medium,0.05701353879442177
47,Permutations II,55.6%,Medium,0.06485254217956125
48,Rotate Image,67.1%,Medium,0.4428147812296089
49,Group Anagrams,64.5%,Medium,0.6043002189458324
50,Pow(x, n),32.5%,Medium,0.1563727956152988
51,N-Queens,60.3%,Hard,0.0016606472035744049
53,Maximum Subarray,49.6%,Easy,0.5946139906518788
54,Spiral Matrix,41.8%,Medium,0.6042711750233518
55,Jump Game,37.9%,Medium,0.05981849521091018
56,Merge Intervals,45.1%,Medium,0.9408062446840102
59,Spiral Matrix II,65.2%,Medium,0.3953127366441464
62,Unique Paths,60.3%,Medium,0.16750284217336173
64,Minimum Path Sum,59.6%,Medium,0.13138400282910845
66,Plus One,43.0%,Easy,0.022536165022413065
68,Text Justification,35.5%,Hard,0.3964152725882465
69,Sqrt(x),36.6%,Easy,0.09663517927806656
70,Climbing Stairs,51.2%,Easy,0.014964738673859257
71,Simplify Path,38.9%,Medium,0.2259564926908244
72,Edit Distance,51.1%,Hard,0.17763094743610072
73,Set Matrix Zeroes,48.7%,Medium,0.09686938665732826
74,Search a 2D Matrix,44.9%,Medium,0.05094480161524853
75,Sort Colors,55.3%,Medium,0.05212529063213289
76,Minimum Window Substring,39.2%,Hard,0.09256346432426747
78,Subsets,71.9%,Medium,0.06805346324501566
79,Word Search,39.8%,Medium,0.2049629018041345
83,Remove Duplicates from Sorted List,49.2%,Easy,0.03502985132921491
85,Maximal Rectangle,43.0%,Hard,0.1578069910303688
86,Partition List,48.1%,Medium,0.14208251361377278
88,Merge Sorted Array,44.1%,Easy,0.1333332747437359
91,Decode Ways,30.5%,Medium,0.10867135530512761
