Number,Title,AcceptanceRate,Difficulty,Frequency
1,Two Sum,48.7%,Easy,0.8505108267608907
2,Add Two Numbers,38.8%,Medium,0.2572954628835441
3,Longest Substring Without Repeating Characters,33.1%,Medium,0.4503732312117331
4,Median of Two Sorted Arrays,34.3%,Hard,0.7669805305462708
5,Longest Palindromic Substring,31.8%,Medium,0.5673215665648181
7,Reverse Integer,26.8%,Medium,0.17719264826360567
8,String to Integer (atoi),16.5%,Medium,0.2504356936022173
9,Palindrome Number,52.5%,Easy,0.31775094101300405
10,Regular Expression Matching,28.3%,Hard,0.3968580334554196
11,Container With Most Water,54.0%,Medium,0.0342890734786321
12,Integer to Roman,59.7%,Medium,0.17666954336260812
13,Roman to Integer,57.9%,Easy,0.5204904528478598
14,Longest Common Prefix,39.6%,Easy,0.3461148325007982
15,3Sum,31.3%,Medium,0.25304055068877407
16,3Sum Closest,47.1%,Medium,0.1040197878075301
17,Letter Combinations of a Phone Number,54.4%,Medium,0.18325970602847927
18,4Sum,37.4%,Medium,0.19105523676270922
19,Remove Nth Node From End of List,38.5%,Medium,0.13714877015207594
20,Valid Parentheses,40.9%,Easy,0.08481652682491649
21,Merge Two Sorted Lists,60.6%,Easy,0.011692620790284927
22,Generate Parentheses,70.4%,Medium,0.06684001812585041
23,Merge k Sorted Lists,47.3%,Hard,0.3559766198880075
26,Remove Duplicates from Sorted Array,49.2%,Easy,0.05886215301212945
27,Remove Element,51.4%,Easy,0.02159911180346178
28,Implement strStr(),36.2%,Easy,0.09336221759102548
29,Divide Two Integers,17.5%,Medium,0.3731218633879398
30,Substring with Concatenation of All Words,28.3%,Hard,0.15123096972392353
31,Next Permutation,36.5%,Medium,0.31224697927606354
32,Longest Valid Parentheses,32.3%,Hard,0.16135093247964982
33,Search in Rotated Sorted Array,37.9%,Medium,0.035619119592957486
34,Find First and Last Position of Element in Sorted Array,40.2%,Medium,0.44766390708014486
35,Search Insert Position,42.3%,Easy,0.11644804928475955
37,Sudoku Solver,54.5%,Hard,0.2728669866666403
38,Count and Say,48.9%,Medium,0.30538164955118186
39,Combination Sum,65.9%,Medium,0.026955809988528263
41,First Missing Positive,36.1%,Hard,0.17265583404226165
42,Trapping Rain Water,56.8%,Hard,0.5006374478657992
43,Multiply Strings,37.9%,Medium,0.6076859511447171
44,Wildcard Matching,26.6%,Hard,0.17351092711179975
45,Jump Game II,37.4%,Medium,0.15580518874043917
46,Permutations,72.7%,Medium,0.21081229181882205
48,Rotate Image,67.1%,Medium,0.15866004929579638
49,Group Anagrams,64.5%,Medium,0.18854613997527855
50,Pow(x n),32.5%,Medium,0.1563727956152988
51,N-Queens,60.2%,Hard,0.0016606472035744049
53,Maximum Subarray,49.6%,Easy,0.24080838749401506
54,Spiral Matrix,41.8%,Medium,0.4068302960335043
55,Jump Game,37.9%,Medium,0.02702867238791931
56,Merge Intervals,45.1%,Medium,1.6774761052784968
57,Insert Interval,37.5%,Medium,0.5763533022982712
60,Permutation Sequence,42.4%,Hard,0.11506932978478719
