Number,Title,AcceptanceRate,Difficulty,Frequency
1,Two Sum,48.7%,Easy,0.9427733851587408
2,Add Two Numbers,38.8%,Medium,0.6141065137117636
3,Longest Substring Without Repeating Characters,33.1%,Medium,1.0194440891395058
4,Median of Two Sorted Arrays,34.3%,Hard,0.7669805305462708
5,Longest Palindromic Substring,31.8%,Medium,0.9393192053198323
7,Reverse Integer,26.8%,Medium,0.02131140858230841
8,String to Integer (atoi),16.5%,Medium,1.2701157688808176
10,Regular Expression Matching,28.3%,Hard,1.295338692069803
11,Container With Most Water,54.0%,Medium,0.2730405224588328
12,Integer to Roman,59.7%,Medium,0.2638495970836828
13,Roman to Integer,57.9%,Easy,0.13863971893494156
14,Longest Common Prefix,39.6%,Easy,0.184524807478672
15,3Sum,31.3%,Medium,0.8196897683158342
16,3Sum Closest,47.1%,Medium,0.1040197878075301
17,Letter Combinations of a Phone Number,54.4%,Medium,1.7964414388535996
18,4Sum,37.4%,Medium,0.11191791620398538
19,Remove Nth Node From End of List,38.5%,Medium,0.09720155606583691
20,Valid Parentheses,40.9%,Easy,0.734450986701181
21,Merge Two Sorted Lists,60.6%,Easy,0.45508101882034224
22,Generate Parentheses,70.4%,Medium,0.9184389604124447
23,Merge k Sorted Lists,47.3%,Hard,1.2589764841988147
24,Swap Nodes in Pairs,59.0%,Medium,0.3732496560572872
25,Reverse Nodes in k-Group,51.5%,Hard,1.3012653909249474
26,Remove Duplicates from Sorted Array,49.2%,Easy,0.21713844034132418
28,Implement strStr(),36.2%,Easy,0.05358424613410637
29,Divide Two Integers,17.5%,Medium,0.10711776476069794
30,Substring with Concatenation of All Words,28.3%,Hard,0.15123096972392353
31,Next Permutation,36.5%,Medium,0.47364322077683785
32,Longest Valid Parentheses,32.3%,Hard,0.27100684545714193
33,Search in Rotated Sorted Array,37.9%,Medium,1.081818827915629
34,Find First and Last Position of Element in Sorted Array,40.2%,Medium,0.3766325619357803
36,Valid Sudoku,55.4%,Medium,0.36236283698393196
37,Sudoku Solver,54.5%,Hard,0.8131064956389242
39,Combination Sum,65.9%,Medium,0.2198594761130198
40,Combination Sum II,52.5%,Medium,0.039687748267242605
41,First Missing Positive,36.1%,Hard,1.5719965340532949
42,Trapping Rain Water,56.8%,Hard,0.5006374478657992
43,Multiply Strings,37.9%,Medium,1.4689589895403392
44,Wildcard Matching,26.6%,Hard,1.516860836401949
45,Jump Game II,37.4%,Medium,0.041285533012784245
46,Permutations,72.7%,Medium,0.1509793312127532
47,Permutations II,55.6%,Medium,0.14041717882974725
48,Rotate Image,67.1%,Medium,0.6883212490979644
49,Group Anagrams,64.5%,Medium,1.7659735598789557
50,Pow(x, n),32.5%,Medium,0.10285229483975511
51,N-Queens,60.3%,Hard,0.0016606472035744049
53,Maximum Subarray,49.6%,Easy,0.32229219391467623
54,Spiral Matrix,41.8%,Medium,1.7849054328002627
56,Merge Intervals,45.1%,Medium,0.8055428526852475
57,Insert Interval,37.5%,Medium,0.04757139497530258
58,Length of Last Word,38.1%,Easy,0.043017385083690796
61,Rotate List,35.1%,Medium,0.3299362656414274
62,Unique Paths,60.3%,Medium,0.38309171021033767
63,Unique Paths II,38.5%,Medium,0.07536521894921006
64,Minimum Path Sum,59.6%,Medium,0.44572532239455054
68,Text Justification,35.5%,Hard,0.3964152725882465
69,Sqrt(x),36.6%,Easy,0.05550129578775562
70,Climbing Stairs,51.2%,Easy,0.16948668265982794
72,Edit Distance,51.1%,Hard,0.721887849567968
73,Set Matrix Zeroes,48.7%,Medium,0.34136443699277186
74,Search a 2D Matrix,44.9%,Medium,0.18984256418723808
75,Sort Colors,55.3%,Medium,0.32244532172494345
76,Minimum Window Substring,39.2%,Hard,0.5245244681241525
77,Combinations,64.4%,Medium,0.14310084364067333
78,Subsets,71.9%,Medium,0.11795690334351189
79,Word Search,39.8%,Medium,1.5346437666515342
82,Remove Duplicates from Sorted List II,44.5%,Medium,0.0749414212921187
83,Remove Duplicates from Sorted List,49.2%,Easy,0.03502985132921491
84,Largest Rectangle in Histogram,41.0%,Hard,0.3068929087174586
88,Merge Sorted Array,44.1%,Easy,0.39163510044056415
91,Decode Ways,30.5%,Medium,0.18571714579509285
92,Reverse Linked List II,43.6%,Medium,0.41224479509354317
93,Restore IP Addresses,42.1%,Medium,0.620692101344523
94,Binary Tree Inorder Traversal,71.0%,Easy,0.08497678829184224
95,Unique Binary Search Trees II,49.9%,Medium,0.5747571646117852
98,Validate Binary Search Tree,30.7%,Medium,0.35762990183400095
99,Recover Binary Search Tree,48.9%,Medium,0.6265158787492435
101,Symmetric Tree,51.8%,Easy,0.062260768427731414
102,Binary Tree Level Order Traversal,61.2%,Medium,0.33575947821612717
103,Binary Tree Zigzag Level Order Traversal,53.9%,Medium,0.9079430281083267
104,Maximum Depth of Binary Tree,72.1%,Easy,0.03935794383827777
105,Construct Binary Tree from Preorder and Inorder Traversal,58.0%,Medium,0.26329061932762177
109,Convert Sorted List to Binary Search Tree,55.8%,Medium,0.1874629562943733
112,Path Sum,45.8%,Easy,0.49159426183810306
113,Path Sum II,54.3%,Medium,0.08320805808821628
114,Flatten Binary Tree to Linked List,58.2%,Medium,0.4171290482340788
116,Populating Next Right Pointers in Each Node,57.6%,Medium,0.7351481045345761
117,Populating Next Right Pointers in Each Node II,48.5%,Medium,0.2071597101203954
118,Pascal's Triangle,65.2%,Easy,0.1540555006523899
119,Pascal's Triangle II,57.9%,Easy,0.06603058152308591
120,Triangle,51.1%,Medium,0.07710947515747849
121,Best Time to Buy and Sell Stock,54.2%,Easy,0.5960294991338307
122,Best Time to Buy and Sell Stock II,62.2%,Medium,0.21863683260578004
124,Binary Tree Maximum Path Sum,37.8%,Hard,0.6455600997861892
125,Valid Palindrome,42.0%,Easy,0.25381943961087455
126,Word Ladder II,27.2%,Hard,0.19768561861869782
127,Word Ladder,35.6%,Hard,1.1786549963416462
128,Longest Consecutive Sequence,48.8%,Medium,0.41948151008170015
129,Sum Root to Leaf Numbers,57.3%,Medium,0.6380874033769179
133,Clone Graph,48.2%,Medium,0.09986117458829845
134,Gas Station,44.5%,Medium,0.7142005897577777
136,Single Number,69.5%,Easy,0.08909617568903329
138,Copy List with Random Pointer,48.6%,Medium,0.8636247536746324
139,Word Break,44.7%,Medium,0.18866903222469833
140,Word Break II,42.5%,Hard,0.48401013690358163
141,Linked List Cycle,46.1%,Easy,0.03730229412208383
143,Reorder List,48.5%,Medium,0.41397579777607296
146,LRU Cache,40.1%,Medium,3.062911245944009
148,Sort List,52.4%,Medium,0.18805223150293965
149,Max Points on a Line,20.7%,Hard,0.37156355643248307
150,Evaluate Reverse Polish Notation,43.0%,Medium,0.04405998979403051
151,Reverse Words in a String,28.8%,Medium,2.8124982484701735
152,Maximum Product Subarray,34.6%,Medium,0.05550129578775562
153,Find Minimum in Rotated Sorted Array,48.0%,Medium,0.3575476322094705
155,Min Stack,50.5%,Easy,0.6627760826836465
158,Read N Characters Given read4 II - Call Multiple Times,41.0%,Hard,0.5968160716215132
159,Longest Substring with At Most Two Distinct Characters,52.8%,Medium,0.47505839990735965
160,Intersection of Two Linked Lists,50.6%,Easy,0.44526993342758603
165,Compare Version Numbers,34.7%,Medium,0.8222042927895468
166,Fraction to Recurring Decimal,23.7%,Medium,0.31508104663989533
168,Excel Sheet Column Title,34.1%,Easy,0.44183275227903923
169,Majority Element,63.1%,Easy,0.1905480730647584
171,Excel Sheet Column Number,60.8%,Easy,0.40861471701106056
173,Binary Search Tree Iterator,67.6%,Medium,1.1466564625008202
179,Largest Number,33.1%,Medium,0.41181433578682314
184,Department Highest Salary,47.4%,Medium,0.13815033848081718
186,Reverse Words in a String II,51.3%,Medium,1.241713132308783
189,Rotate Array,38.7%,Medium,0.1986706947954841
190,Reverse Bits,49.5%,Easy,0.07223355735937158
192,Word Frequency,25.6%,Medium,0.8873031950009028
198,House Robber,47.5%,Medium,0.05023377508106909
199,Binary Tree Right Side View,59.8%,Medium,0.09822502675672687
200,Number of Islands,54.2%,Medium,2.52998734558004
203,Remove Linked List Elements,43.7%,Easy,0.09143420595963188
204,Count Primes,33.0%,Medium,0.29905506262405096
205,Isomorphic Strings,42.2%,Easy,0.18048837571229365
206,Reverse Linked List,70.6%,Easy,0.1436893385818889
207,Course Schedule,45.1%,Medium,0.4989341129168614
208,Implement Trie (Prefix Tree),58.6%,Medium,0.4502602419009964
209,Minimum Size Subarray Sum,43.6%,Medium,0.19526527689524323
210,Course Schedule II,46.8%,Medium,1.262876137340646
211,Design Add and Search Words Data Structure,43.9%,Medium,0.23987034511952326
212,Word Search II,37.8%,Hard,0.9096754927554358
215,Kth Largest Element in an Array,63.8%,Medium,0.7022989515802637
217,Contains Duplicate,61.0%,Easy,0.059941238899129536
218,The Skyline Problem,38.9%,Hard,0.47505839990735965
219,Contains Duplicate II,40.7%,Easy,0.05807146640389905
221,Maximal Square,43.6%,Medium,0.4617537297735937
224,Basic Calculator,40.6%,Hard,1.5191371907481246
226,Invert Binary Tree,71.9%,Easy,0.02359991534087348
227,Basic Calculator II,41.7%,Medium,1.2690706319380771
229,Majority Element II,42.7%,Medium,0.14612656455721032
230,Kth Smallest Element in a BST,67.9%,Medium,0.04353244473664264
233,Number of Digit One,33.7%,Hard,0.4519851237430572
234,Palindrome Linked List,47.0%,Easy,0.3936826452900512
236,Lowest Common Ancestor of a Binary Tree,55.7%,Medium,0.8585655852335459
237,Delete Node in a Linked List,72.3%,Easy,0.09087985376755009
238,Product of Array Except Self,64.1%,Medium,0.826036243647342
239,Sliding Window Maximum,46.3%,Hard,0.5362210340606511
240,Search a 2D Matrix II,48.7%,Medium,0.6362022594620544
242,Valid Anagram,61.6%,Easy,0.135955636236029
250,Count Univalue Subtrees,54.9%,Medium,0.6234672599219555
253,Meeting Rooms II,49.9%,Medium,1.7652528056647263
257,Binary Tree Paths,59.0%,Easy,0.0901510969942975
261,Graph Valid Tree,46.0%,Medium,0.12555653398976382
268,Missing Number,60.5%,Easy,0.830741190792756
269,Alien Dictionary,34.9%,Hard,0.8943653712451894
273,Integer to English Words,29.6%,Hard,1.791759469228055
274,H-Index,37.7%,Medium,0.25131442828090605
277,Find the Celebrity,46.9%,Medium,0.7737512129745747
278,First Bad Version,41.9%,Easy,0.16355491784923273
279,Perfect Squares,51.9%,Medium,0.08934510033584994
283,Move Zeroes,60.8%,Easy,0.33188028532551606
285,Inorder Successor in BST,47.4%,Medium,1.9395876833158263
286,Walls and Gates,59.5%,Medium,0.38946476676172326
287,Find the Duplicate Number,58.9%,Medium,0.5942793834279331
289,Game of Life,65.6%,Medium,0.18485641239714268
292,Nim Game,55.6%,Easy,0.2664662333015083
295,Find Median from Data Stream,50.5%,Hard,1.5348817442618203
297,Serialize and Deserialize Binary Tree,54.0%,Hard,2.106596559876401
300,Longest Increasing Subsequence,49.6%,Medium,0.5049690916532777
312,Burst Balloons,56.4%,Hard,1.0663514264498883
314,Binary Tree Vertical Order Traversal,51.4%,Medium,0.34560472018448546
315,Count of Smaller Numbers After Self,42.0%,Hard,0.1506602748874898
316,Remove Duplicate Letters,44.0%,Medium,0.15718558352241233
317,Shortest Distance from All Buildings,43.2%,Hard,1.9424197441155449
