Number,Title
8,String to Integer (atoi)
10,Regular Expression Matching
17,Letter Combinations of a Phone Number
23,Merge k Sorted Lists
25,Reverse Nodes in k-Group
33,Search in Rotated Sorted Array
41,First Missing Positive
43,Multiply Strings
44,Wildcard Matching
49,Group Anagrams
54,Spiral Matrix
79,Word Search
127,Word Ladder
146,LRU Cache
151,Reverse Words in a String
173,Binary Search Tree Iterator
200,Number of Islands
210,Course Schedule II
224,Basic Calculator
227,Basic Calculator II
253,Meeting Rooms II
273,Integer to English Words
285,Inorder Successor in BST
295,Find Median from Data Stream
297,Serialize and Deserialize Binary Tree
312,Burst Balloons
317,Shortest Distance from All Buildings
348,Design Tic-Tac-Toe
362,Design Hit Counter
380,Insert Delete GetRandom O(1)
394,Decode String
438,Find All Anagrams in a String
443,String Compression
460,LFU Cache
545,Boundary of Binary Tree
588,Design In-Memory File System
692,Top K Frequent Words
1267,Count Servers that Communicate
1275,Find Winner on a Tic Tac Toe Game
1304,Find N Unique Integers Sum up to Zero
1344,Angle Between Hands of a Clock
1386,Cinema Seat Allocation
1405,Longest Happy String
1448,Count Good Nodes in Binary Tree
1541,Minimum Insertions to Balance a Parentheses String
1578,Minimum Time to Make Rope Colorful
1615,Maximal Network Rank
1647,Minimum Deletions to Make Character Frequencies Unique
1653,Minimum Deletions to Make String Balanced
1822,Sign of the Product of an Array
